,NOMBRECOMERCIAL,PRECIO,FECHAREGISTRO,PRESENTACIÓN,MARCA,LATITUD,LONGITUD,PRODUCTO
114214,WALMART EXPRESS SUCURSAL DIVISION DEL NORTE,42.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.321169,-99.138857,PAPA
114929,WALMART SUCURSAL COPILCO,42.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.337768,-99.183895,PAPA
122460,BODEGA AURRERA EXPRESS SUCURSAL LOS GALLOS,42.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.455788,-99.162735,PAPA
123244,LACOMER SUCURSAL SANTA MARIA LA RIBERA,39.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.450874,-99.16366,PAPA
123863,MEGA SORIANA SUCURSAL ASTURIAS,27.4,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.407812,-99.132654,PAPA
124675,WALMART EXPRESS SUCURSAL SENA,44.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.43346,-99.16796,PAPA
125233,WALMART SUCURSAL PORTAL CENTRO,41.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.419472,-99.130269,PAPA
183616,BODEGA AURRERA SUCURSAL LA VIGA,41.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.414749,-99.127874,PAPA
184342,CHEDRAUI SUCURSAL ANFORA,32.0,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.437353,-99.110088,PAPA
184768,MERCADO ROMERO RUBIO,24.0,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.388643,-99.066708,PAPA
185516,SORIANA HIPER SUCURSAL CONSULADO (418),34.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.449572,-99.100376,PAPA
186485,WALMART SUCURSAL AEROPUERTO,42.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.41926,-99.094521,PAPA
187458,WALMART SUCURSAL BALBUENA,42.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.418067,-99.105639,PAPA
