precio,ubicacion,tamanio,latitud,longitud
22500," GUERRERO ,  Guerrero, Cuauhtémoc",60,19.443177900000000,-99.144231600000000
75000," Avenida Paseo de la Reforma, 376,  Juárez, Cuauhtémoc",56,19.425684300000000,-99.169279399999993
16567," Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",16,19.342782599999999,-99.149961500000003
39318," Calle Lago Alberto ,  Anáhuac I Sección, Miguel Hidalgo",40,19.439694600000000,-99.183355400000000
11000," Carretera Mexico Toluca  al 5000,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",12,19.366652599999998,-99.271542100000004
26517," Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",27,19.439694600000000,-99.183355400000000
15483," Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",16,19.342782599999999,-99.149961500000003
18018," Calle Alfonso Herrera ,  San Rafael, Cuauhtémoc",13,19.439534867943760,-99.159394619018540
48000," Parques Plaza Calle Lago Alberto 442 20A ,  Anáhuac I Sección, Miguel Hidalgo",531,19.438896400000000,-99.178111199999990
42250," Local EN Plaza Comercial Renta EN Juan Salvador Agraz,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",653,19.361058799999998,-99.280285800000001
20921," Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",20,19.342782599999999,-99.149961500000003
39000," Av. Ejército Nacional,  Polanco, Miguel Hidalgo",44,19.437454999999999,-99.189028399999997
27018," Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",29,19.439694600000000,-99.183355400000000
48018," Calle Lago Alberto ,  Anáhuac I Sección, Miguel Hidalgo",53,19.439694600000000,-99.183355400000000
18017," Calle Alfonso Herrera,  San Rafael, Cuauhtémoc",14,19.440141900000000,-99.163257000000000
25000," Av. Lomas de Sotelo,  Lomas de Sotelo, Miguel Hidalgo",68,19.447738500000000,-99.214132000000000
50018," Calle Alfonso Herrera,  San Rafael, Cuauhtémoc",34,19.440141900000000,-99.163257000000000
12000," RAUDAL,  Los Alpes, Alvaro Obregón",45,19.356462400000000,-99.211142300000000
32000," Tabacalera ,  Tabacalera, Cuauhtémoc",44,19.436023700000000,-99.154609700000000
21017," Calle Alfonso Herrera ,  San Rafael, Cuauhtémoc",13,19.439534867943760,-99.159394619018540
45000," Av. de las Fuentes,  Jardines del Pedregal, Alvaro Obregón",802,19.318396899999999,-99.211637400000000
